0.05	6	5	2	0x663c40
0.1	2519	5	125670	0x663c40
0.15	7	5	4	0x663c40
0.2	2520	5	125672	0x663c40
0.25	7	5	6	0x663c40
0.3	2521	5	125674	0x663c40
0.35	8	5	8	0x663c40
0.4	2521	5	125676	0x663c40
0.45	9	5	10	0x663c40
0.5	2522	4	125678	0x663c40
0.55	9	4	12	0x663c40
0.6	2523	4	125679	0x663c40
0.65	10	4	14	0x663c40
0.7	2523	4	125681	0x663c40
0.75	11	4	16	0x663c40
0.8	2524	4	125683	0x663c40
0.85	11	4	18	0x663c40
0.9	2525	4	125685	0x663c40
0.95	11	3	21	0x663c40
1	2526	1	125685	0x663c40
1.05	11	3	23	0x663c40
1.1	2527	4	125687	0x663c40
1.15	12	4	26	0x663c40
1.2	2527	4	125689	0x663c40
1.25	13	4	28	0x663c40
1.3	2528	4	125691	0x663c40
1.35	13	4	30	0x663c40
1.4	2529	4	125693	0x663c40
1.45	14	4	32	0x663c40
1.5	2529	4	125696	0x663c40
1.55	15	4	34	0x663c40
1.6	2530	4	125698	0x663c40
1.65	16	4	36	0x663c40
1.7	2530	4	125700	0x663c40
1.75	17	5	39	0x663c40
1.8	2531	5	125702	0x663c40
1.85	17	5	41	0x663c40
1.9	2532	5	125704	0x663c40
1.95	18	5	43	0x663c40
2	2532	5	125706	0x663c40
2.05	19	5	45	0x663c40
2.1	2533	5	125709	0x663c40
2.15	20	5	47	0x663c40
2.2	2533	5	125709	0x663c40
2.25	21	5	50	0x663c40
2.3	2534	5	125711	0x663c40
2.35	22	5	52	0x663c40
2.4	2534	5	125713	0x663c40
2.45	23	5	54	0x663c40
2.5	2535	5	125716	0x663c40
2.55	24	5	56	0x663c40
2.6	2535	5	125718	0x663c40
2.65	25	5	58	0x663c40
2.7	2536	5	125720	0x663c40
2.75	25	5	61	0x663c40
2.8	2537	5	125722	0x663c40
2.85	26	5	63	0x663c40
2.9	2538	5	125724	0x663c40
2.95	26	5	65	0x663c40
3	2539	5	125725	0x663c40
3.05	27	5	67	0x663c40
3.1	2540	5	125727	0x663c40
3.15	27	5	69	0x663c40
3.2	2541	5	125730	0x663c40
3.25	28	5	71	0x663c40
3.3	2541	5	125732	0x663c40
3.35	29	5	73	0x663c40
3.4	2542	5	125734	0x663c40
3.45	30	5	75	0x663c40
3.5	2542	5	125737	0x663c40
3.55	31	6	77	0x663c40
3.6	2543	6	125739	0x663c40
3.65	32	6	79	0x663c40
3.7	2544	6	125741	0x663c40
3.75	32	6	82	0x663c40
3.8	2545	6	125743	0x663c40
3.85	33	6	84	0x663c40
3.9	2546	6	125745	0x663c40
3.95	34	6	86	0x663c40
4	2546	6	125748	0x663c40
4.05	35	6	88	0x663c40
4.1	2547	6	125750	0x663c40
4.15	36	6	90	0x663c40
4.2	2548	6	125753	0x663c40
4.25	36	6	92	0x663c40
4.3	2549	6	125755	0x663c40
4.35	37	6	94	0x663c40
4.4	2550	6	125757	0x663c40
4.45	37	6	96	0x663c40
4.5	2551	6	125760	0x663c40
4.55	38	6	98	0x663c40
4.6	2552	6	125762	0x663c40
4.65	38	6	100	0x663c40
4.7	2553	6	125765	0x663c40
4.75	39	6	102	0x663c40
4.8	2554	6	125767	0x663c40
4.85	40	6	104	0x663c40
4.9	2554	6	125769	0x663c40
4.95	41	6	107	0x663c40
5	2555	6	125771	0x663c40
5.05	42	6	109	0x663c40
5.1	2555	6	125773	0x663c40
5.15	43	6	112	0x663c40
5.2	2556	6	125775	0x663c40
5.25	44	6	114	0x663c40
