0.0000000e+00		1.0000000e+00		0.0000000e+00
2.0000000e-02		9.9993334e-01		1.0662970e-09
4.0000000e-02		9.9973343e-01		8.5271513e-09
6.0000000e-02		9.9940039e-01		2.8764056e-08
8.0000000e-02		9.9893442e-01		6.8135053e-08
1.0000000e-01		9.9833578e-01		1.3296460e-07
1.2000000e-01		9.9760478e-01		2.2953351e-07
1.4000000e-01		9.9674180e-01		3.6406904e-07
1.6000000e-01		9.9574728e-01		5.4273507e-07
1.8000000e-01		9.9462174e-01		7.7162242e-07
2.0000000e-01		9.9336573e-01		1.0567394e-06
2.2000000e-01		9.9197989e-01		1.4040024e-06
2.4000000e-01		9.9046490e-01		1.8192268e-06
2.6000000e-01		9.8882151e-01		2.3081184e-06
2.8000000e-01		9.8705052e-01		2.8762642e-06
3.0000000e-01		9.8515281e-01		3.5291244e-06
3.2000000e-01		9.8312928e-01		4.2720244e-06
3.4000000e-01		9.8098091e-01		5.1101466e-06
3.6000000e-01		9.7870873e-01		6.0485233e-06
3.8000000e-01		9.7631384e-01		7.0920293e-06
4.0000000e-01		9.7379736e-01		8.2453750e-06
4.2000000e-01		9.7116048e-01		9.5131000e-06
4.4000000e-01		9.6840444e-01		1.0899567e-05
4.6000000e-01		9.6553054e-01		1.2408956e-05
4.8000000e-01		9.6254010e-01		1.4045260e-05
5.0000000e-01		9.5943450e-01		1.5812276e-05
5.2000000e-01		9.5621519e-01		1.7713605e-05
5.4000000e-01		9.5288361e-01		1.9752648e-05
5.6000000e-01		9.4944130e-01		2.1932596e-05
5.8000000e-01		9.4588980e-01		2.4256434e-05
6.0000000e-01		9.4223071e-01		2.6726934e-05
6.2000000e-01		9.3846565e-01		2.9346653e-05
6.4000000e-01		9.3459630e-01		3.2117930e-05
6.6000000e-01		9.3062436e-01		3.5042887e-05
6.8000000e-01		9.2655156e-01		3.8123425e-05
7.0000000e-01		9.2237968e-01		4.1361223e-05
7.2000000e-01		9.1811050e-01		4.4757739e-05
7.4000000e-01		9.1374585e-01		4.8314210e-05
7.6000000e-01		9.0928760e-01		5.2031649e-05
7.8000000e-01		9.0473760e-01		5.5910851e-05
8.0000000e-01		9.0009778e-01		5.9952387e-05
8.2000000e-01		8.9537004e-01		6.4156614e-05
8.4000000e-01		8.9055634e-01		6.8523666e-05
8.6000000e-01		8.8565864e-01		7.3053468e-05
8.8000000e-01		8.8067891e-01		7.7745728e-05
9.0000000e-01		8.7561916e-01		8.2599947e-05
9.2000000e-01		8.7048139e-01		8.7615416e-05
9.4000000e-01		8.6526762e-01		9.2791225e-05
9.6000000e-01		8.5997989e-01		9.8126264e-05
9.8000000e-01		8.5462024e-01		1.0361923e-04
1.0000000e+00		8.4919072e-01		1.0926861e-04
1.0200000e+00		8.4369338e-01		1.1507274e-04
1.0400000e+00		8.3813029e-01		1.2102973e-04
1.0600000e+00		8.3250350e-01		1.2713755e-04
1.0800000e+00		8.2681509e-01		1.3339397e-04
1.1000000e+00		8.2106712e-01		1.3979661e-04
1.1200000e+00		8.1526165e-01		1.4634292e-04
1.1400000e+00		8.0940075e-01		1.5303020e-04
1.1600000e+00		8.0348647e-01		1.5985559e-04
1.1800000e+00		7.9752087e-01		1.6681610e-04
1.2000000e+00		7.9150600e-01		1.7390858e-04
1.2200000e+00		7.8544389e-01		1.8112977e-04
1.2400000e+00		7.7933657e-01		1.8847627e-04
1.2600000e+00		7.7318607e-01		1.9594457e-04
1.2800000e+00		7.6699438e-01		2.0353104e-04
1.3000000e+00		7.6076352e-01		2.1123194e-04
1.3200000e+00		7.5449545e-01		2.1904345e-04
1.3400000e+00		7.4819215e-01		2.2696164e-04
